InventoryId,Store,Brand,Description,Size,VendorNumber,VendorName,PONumber,PODate,ReceivingDate,InvoiceDate,PayDate,PurchasePrice,Quantity,Dollars,Classification
69_MOUNTMEND_3782,69,3782,Grey Goose Le Citron Vodka,750mL,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,18.89,18,340.02,1
78_EASTHAVEN_3961,78,3961,Grey Goose La Poire Vodka,750mL,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,18.17,12,218.04,1
5_SUTTON_4227,5,4227,Bacardi Superior Rum Trav,1.75L,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,14.17,6,85.02,1
5_SUTTON_4267,5,4267,Bacardi Limon Rum,1.75L,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,15.62,6,93.72,1
50_MOUNTMEND_3436,50,3436,Bombay Dry Gin,1.75L,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,18.79,6,112.74,1
5_SUTTON_3344,5,3344,Bombay Sapphire Gin,750mL,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,14.49,12,173.88,1
15_WANBORNE_2663,15,2663,Dewars White Label,1.75L,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,21.42,12,257.04,1
38_GOULCREST_3858,38,3858,Grey Goose Vodka,750mL,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,17.77,247,4389.19,1
34_PITMERDEN_3461,34,3461,Corzo Silver Tequila,750mL,480,BACARDI USA INC            ,8106,20-12-2023,03-01-2024,12-01-2024,05-02-2024,39.99,1,39.99,1
76_DONCASTER_3858,76,3858,Grey Goose Vodka,750mL,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,17.77,54,959.58,1
69_MOUNTMEND_4233,69,4233,Castillo Silver Label Rum,1.75L,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,7.87,6,47.22,1
67_EANVERNESS_4221,67,4221,Bacardi Gold Rum Traveler,1.75L,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,12.94,84,1086.96,1
67_EANVERNESS_3858,67,3858,Grey Goose Vodka,750mL,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,17.77,39,693.03,1
76_DONCASTER_4245,76,4245,Bacardi Superior Rum,750mL,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,7.93,9,71.37,1
7_STANMORE_3830,7,3830,Grey Goose L'Orange Vodka,750mL,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,18.45,23,424.35,1
34_PITMERDEN_3139,34,3139,Grey Goose Le Melon,750mL,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,17.64,29,511.56,1
30_CULCHETH_3847,30,3847,Grey Goose Vodka,50mL,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,2.81,12,33.72,1
76_DONCASTER_7985,76,7985,Noilly Prat Extra Dry Vermou,Liter,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,7.46,10,74.6,1
76_DONCASTER_4223,76,4223,Bacardi Gold Rum,1.75L,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,14.92,6,89.52,1
7_STANMORE_3858,7,3858,Grey Goose Vodka,750mL,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,17.77,263,4673.51,1
18_FURNESS_2672,18,2672,Dewars White Label,50mL,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,1.8,12,21.6,1
1_HARDERSFIELD_4670,1,4670,Bacardi Dragon Berry Rum,375mL,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,2.87,11,31.57,1
30_CULCHETH_3851,30,3851,Grey Goose Vodka,375mL,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,12.02,12,144.24,1
1_HARDERSFIELD_4223,1,4223,Bacardi Gold Rum,1.75L,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,14.92,18,268.56,1
1_HARDERSFIELD_4226,1,4226,Bacardi Superior Rum Trav,750mL,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,7.68,21,161.28,1
38_GOULCREST_3857,38,3857,Grey Goose Vodka,1.75L,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,38.27,14,535.78,1
47_PELLA'S WISH_3348,47,3348,Bombay Sapphire Gin,1.75L,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,22.38,12,268.56,1
54_GUTHRAM_4229,54,4229,Bacardi Black,1.75L,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,14.7,6,88.2,1
5_SUTTON_5194,5,5194,Bacardi Party Mai Tai,1.75L,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,9.62,6,57.72,1
52_GRAYCOTT_3782,52,3782,Grey Goose Le Citron Vodka,750mL,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,18.89,6,113.34,1
38_GOULCREST_1330,38,1330,Grey Goose Glass Pack,1.75L,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,38.27,1,38.27,1
47_PELLA'S WISH_7221,47,7221,M & R Sweet Vermouth,1.5L,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,6.86,5,34.3,2
67_EANVERNESS_5230,67,5230,Bacardi Party Drinks Bahama,1.75L,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,9.92,5,49.6,1
76_DONCASTER_3436,76,3436,Bombay Dry Gin,1.75L,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,18.79,6,112.74,1
34_PITMERDEN_3344,34,3344,Bombay Sapphire Gin,750mL,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,14.49,155,2245.95,1
7_STANMORE_3194,7,3194,Grey Goose Cherry Noir Vodka,750mL,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,18.31,24,439.44,1
30_CULCHETH_3345,30,3345,Bombay Sapphire Gin,50mL,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,1.54,117,180.18,1
23_ARBINGTON_4066,23,4066,Bacardi Oakheart Spiced Rum,1.75L,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,12.85,4,51.4,1
54_GUTHRAM_126,54,126,Grey Goose Vodka,Liter,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,20.14,16,322.24,1
66_EANVERNESS_3344,66,3344,Bombay Sapphire Gin,750mL,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,14.49,9,130.41,1
37_PAETHSMOUTH_3858,37,3858,Grey Goose Vodka,750mL,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,17.77,11,195.47,1
67_EANVERNESS_3830,67,3830,Grey Goose L'Orange Vodka,750mL,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,18.45,3,55.35,1
23_ARBINGTON_4243,23,4243,Bacardi Superior Rum,1.75L,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,14.49,10,144.9,1
15_WANBORNE_4050,15,4050,Bacardi Oakheart Spiced Rum,750mL,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,8.72,12,104.64,1
30_CULCHETH_126,30,126,Grey Goose Vodka,Liter,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,20.14,12,241.68,1
37_PAETHSMOUTH_3348,37,3348,Bombay Sapphire Gin,1.75L,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,22.38,4,89.52,1
69_MOUNTMEND_6638,69,6638,M & R Asti,1.5L,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,16.23,6,97.38,2
30_CULCHETH_3348,30,3348,Bombay Sapphire Gin,1.75L,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,22.38,18,402.84,1
30_CULCHETH_3344,30,3344,Bombay Sapphire Gin,750mL,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,14.49,72,1043.28,1
47_PELLA'S WISH_4245,47,4245,Bacardi Superior Rum,750mL,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,7.93,12,95.16,1
1_HARDERSFIELD_3858,1,3858,Grey Goose Vodka,750mL,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,17.77,95,1688.15,1
54_GUTHRAM_8653,54,8653,M & R Extra Dry Vermouth,375mL,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,3.53,24,84.72,2
52_GRAYCOTT_4066,52,4066,Bacardi Oakheart Spiced Rum,1.75L,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,12.85,24,308.4,1
76_DONCASTER_3782,76,3782,Grey Goose Le Citron Vodka,750mL,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,18.89,6,113.34,1
34_PITMERDEN_4243,34,4243,Bacardi Superior Rum,1.75L,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,14.49,5,72.45,1
47_PELLA'S WISH_4232,47,4232,Castillo Silver Label Rum,Liter,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,6.48,10,64.8,1
78_EASTHAVEN_3858,78,3858,Grey Goose Vodka,750mL,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,17.77,68,1208.36,1
50_MOUNTMEND_3858,50,3858,Grey Goose Vodka,750mL,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,17.77,28,497.56,1
50_MOUNTMEND_903,50,903,Bombay Sapphire Gin,Liter,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,18.79,12,225.48,1
38_GOULCREST_4223,38,4223,Bacardi Gold Rum,1.75L,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,14.92,5,74.6,1
69_MOUNTMEND_4066,69,4066,Bacardi Oakheart Spiced Rum,1.75L,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,12.85,6,77.1,1
15_WANBORNE_4245,15,4245,Bacardi Superior Rum,750mL,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,7.93,29,229.97,1
69_MOUNTMEND_126,69,126,Grey Goose Vodka,Liter,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,20.14,11,221.54,1
22_SHARNWICK_2663,22,2663,Dewars White Label,1.75L,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,21.42,5,107.1,1
30_CULCHETH_4025,30,4025,Bacardi Oakheart Spiced Rum,50mL,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,1.37,10,13.7,1
16_LUNDY_4404,16,4404,Bacardi Gold Rum,375mL,480,BACARDI USA INC            ,8106,20-12-2023,03-01-2024,12-01-2024,05-02-2024,4.32,24,103.68,1
15_WANBORNE_7977,15,7977,M & R X Dry Vermouth,1.5L,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,7.49,6,44.94,1
76_DONCASTER_4066,76,4066,Bacardi Oakheart Spiced Rum,1.75L,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,12.85,11,141.35,1
38_GOULCREST_8368,38,8368,Bacardi Superior Rum,100mL,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,1.51,47,70.97,1
50_MOUNTMEND_810,50,810,Bacardi Black Razz,750mL,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,7.19,11,79.09,1
7_STANMORE_3344,7,3344,Bombay Sapphire Gin,750mL,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,14.49,48,695.52,1
1_HARDERSFIELD_4903,1,4903,Bacardi Superior Rum,200mL,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,2.87,48,137.76,1
5_SUTTON_4903,5,4903,Bacardi Superior Rum,200mL,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,2.87,48,137.76,1
34_PITMERDEN_4245,34,4245,Bacardi Superior Rum,750mL,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,7.93,8,63.44,1
34_PITMERDEN_508,34,508,Bacardi Superior Rum,Liter,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,9.77,9,87.93,1
1_HARDERSFIELD_3343,1,3343,Bombay Sapphire Gin,375mL,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,9.46,12,113.52,1
7_STANMORE_7221,7,7221,M & R Sweet Vermouth,1.5L,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,6.86,5,34.3,2
79_BALLYMENA_4223,79,4223,Bacardi Gold Rum,1.75L,480,BACARDI USA INC            ,8106,20-12-2023,03-01-2024,12-01-2024,05-02-2024,14.92,1,14.92,1
47_PELLA'S WISH_903,47,903,Bombay Sapphire Gin,Liter,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,18.79,2,37.58,1
67_EANVERNESS_4245,67,4245,Bacardi Superior Rum,750mL,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,7.93,45,356.85,1
69_MOUNTMEND_4226,69,4226,Bacardi Superior Rum Trav,750mL,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,7.68,10,76.8,1
38_GOULCREST_4227,38,4227,Bacardi Superior Rum Trav,1.75L,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,14.17,462,6546.54,1
1_HARDERSFIELD_3961,1,3961,Grey Goose La Poire Vodka,750mL,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,18.17,6,109.02,1
76_DONCASTER_4243,76,4243,Bacardi Superior Rum,1.75L,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,14.49,38,550.62,1
1_HARDERSFIELD_8617,1,8617,Bacardi Black,750mL,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,7.19,12,86.28,1
60_IRRAGIN_3344,60,3344,Bombay Sapphire Gin,750mL,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,14.49,2,28.98,1
78_EASTHAVEN_3344,78,3344,Bombay Sapphire Gin,750mL,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,14.49,46,666.54,1
1_HARDERSFIELD_443,1,443,St Germain Liqueur,750mL,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,24.45,6,146.7,1
34_PITMERDEN_3858,34,3858,Grey Goose Vodka,750mL,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,17.77,738,13114.26,1
37_PAETHSMOUTH_3344,37,3344,Bombay Sapphire Gin,750mL,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,14.49,12,173.88,1
76_DONCASTER_7978,76,7978,M & R X Dry Vermouth,750mL,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,3.95,10,39.5,1
38_GOULCREST_4243,38,4243,Bacardi Superior Rum,1.75L,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,14.49,28,405.72,1
69_MOUNTMEND_3857,69,3857,Grey Goose Vodka,1.75L,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,38.27,10,382.7,1
69_MOUNTMEND_8368,69,8368,Bacardi Superior Rum,100mL,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,1.51,45,67.95,1
54_GUTHRAM_4226,54,4226,Bacardi Superior Rum Trav,750mL,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,7.68,12,92.16,1
34_PITMERDEN_4320,34,4320,D'Usse VSOP Cognac,750mL,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,36.02,1,36.02,1
15_WANBORNE_4290,15,4290,Bacardi Tangerine Rum,750mL,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,7.87,12,94.44,1
34_PITMERDEN_3961,34,3961,Grey Goose La Poire Vodka,750mL,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,18.17,36,654.12,1
47_PELLA'S WISH_4222,47,4222,Bacardi Gold Rum,750mL,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,7.99,12,95.88,1
69_MOUNTMEND_40114,69,40114,M & R Prosecco Frizzante,750mL,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,6.66,6,39.96,2
67_EANVERNESS_3344,67,3344,Bombay Sapphire Gin,750mL,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,14.49,10,144.9,1
67_EANVERNESS_4066,67,4066,Bacardi Oakheart Spiced Rum,1.75L,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,12.85,6,77.1,1
1_HARDERSFIELD_802,1,802,Bacardi Torched Cherry Rum,750mL,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,7.99,12,95.88,1
15_WANBORNE_3857,15,3857,Grey Goose Vodka,1.75L,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,38.27,4,153.08,1
76_DONCASTER_8358,76,8358,Bacardi 151 Proof,750mL,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,14.49,12,173.88,1
30_CULCHETH_3016,30,3016,Bombay Sapphire East Gin,750mL,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,14.59,48,700.32,1
69_MOUNTMEND_4243,69,4243,Bacardi Superior Rum,1.75L,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,14.49,36,521.64,1
5_SUTTON_3858,5,3858,Grey Goose Vodka,750mL,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,17.77,12,213.24,1
22_SHARNWICK_824,22,824,Dewars White Label Scotch,Liter,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,20.76,12,249.12,1
1_HARDERSFIELD_4267,1,4267,Bacardi Limon Rum,1.75L,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,15.62,6,93.72,1
76_DONCASTER_8154,76,8154,Cazadores Reposado Tequila,750mL,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,16.05,10,160.5,1
69_MOUNTMEND_3961,69,3961,Grey Goose La Poire Vodka,750mL,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,18.17,30,545.1,1
29_AYLESBURY_802,29,802,Bacardi Torched Cherry Rum,750mL,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,7.99,12,95.88,1
16_LUNDY_3344,16,3344,Bombay Sapphire Gin,750mL,480,BACARDI USA INC            ,8106,20-12-2023,03-01-2024,12-01-2024,05-02-2024,14.49,36,521.64,1
15_WANBORNE_3830,15,3830,Grey Goose L'Orange Vodka,750mL,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,18.45,18,332.1,1
66_EANVERNESS_3858,66,3858,Grey Goose Vodka,750mL,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,17.77,7,124.39,1
67_EANVERNESS_4222,67,4222,Bacardi Gold Rum,750mL,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,7.99,22,175.78,1
16_LUNDY_3961,16,3961,Grey Goose La Poire Vodka,750mL,480,BACARDI USA INC            ,8106,20-12-2023,03-01-2024,12-01-2024,05-02-2024,18.17,6,109.02,1
78_EASTHAVEN_3857,78,3857,Grey Goose Vodka,1.75L,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,38.27,6,229.62,1
66_EANVERNESS_3348,66,3348,Bombay Sapphire Gin,1.75L,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,22.38,3,67.14,1
34_PITMERDEN_5194,34,5194,Bacardi Party Mai Tai,1.75L,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,9.62,6,57.72,1
69_MOUNTMEND_443,69,443,St Germain Liqueur,750mL,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,24.45,6,146.7,1
22_SHARNWICK_3016,22,3016,Bombay Sapphire East Gin,750mL,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,14.59,36,525.24,1
52_GRAYCOTT_3830,52,3830,Grey Goose L'Orange Vodka,750mL,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,18.45,12,221.4,1
30_CULCHETH_3858,30,3858,Grey Goose Vodka,750mL,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,17.77,47,835.19,1
38_GOULCREST_5315,38,5315,B & B Liqueur Dom,750mL,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,19.22,12,230.64,1
54_GUTHRAM_5317,54,5317,B & B Liqueur Dom,50mL,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,2.46,36,88.56,1
7_STANMORE_126,7,126,Grey Goose Vodka,Liter,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,20.14,9,181.26,1
54_GUTHRAM_3857,54,3857,Grey Goose Vodka,1.75L,480,BACARDI USA INC            ,8106,20-12-2023,02-01-2024,12-01-2024,05-02-2024,38.27,6,229.62,1
1_HARDERSFIELD_3016,1,3016,Bombay Sapphire East Gin,750mL,480,BACARDI USA INC            ,8106,20-12-2023,01-01-2024,12-01-2024,05-02-2024,14.59,12,175.08,1
